2023-05-05 00:00:11 , udn , 里長為1間破爛鐵皮屋拍片請命 細說苦命老人說不出的痛 , https://udn.com/news/story/7320/7143579?from=udn-ch1_breaknews-1-0-news
2023-05-05 00:00:21 , udn , 雲林縣北港鎮溝皂里長蔡修榮，不忍里內一位年近八旬的苦命老人，帶著兩名重度智障兒子，生活在一間破爛生鏽的鐵皮屋裡，僅約十坪... , https://udn.com/news/story/7320/7143579?from=udn-ch1_breaknews-1-0-news
2023-05-05 00:03:21 , udn , 感恩會為邱鎮軍造勢 徐志榮：擔心徐耀昌參選會受傷害 , https://udn.com/news/story/7324/7143630?from=udn-ch1_breaknews-1-0-news
2023-05-05 00:03:31 , udn , 苗栗縣國民黨立委徐志榮今晚在頭份市辦感恩餐會，也為他支持的立委接棒人選苗栗市長邱鎮軍造勢，與會地方幹部、基層人士喊出「世... , https://udn.com/news/story/7324/7143630?from=udn-ch1_breaknews-1-0-news
2023-05-05 00:24:35 , udn , 中壢警宣傳反詐騙 國台客語三聲道造福各聽眾 , https://udn.com/news/story/7320/7143668?from=udn-ch1_breaknews-1-0-news
2023-05-05 00:24:46 , udn , 詐騙無所不在，反詐欺已經成為生活的一部份，桃園中壢警分局於受邀到客家公共傳播基金會FM105.7「講客廣播電台」，以客家... , https://udn.com/news/story/7320/7143668?from=udn-ch1_breaknews-1-0-news
2023-05-05 00:25:06 , udn , 23:38花蓮規模5.1有感地震 最大震度4級 , https://udn.com/news/story/7266/7143665?from=udn-ch1_breaknews-1-0-news
2023-05-05 00:25:17 , udn , 中央氣象局表示，今天晚間11點38分花蓮縣卓溪鄉發生芮氏規模5.1地震，最大震度4級，震央在花蓮縣政府南南西方67.7公... , https://udn.com/news/story/7266/7143665?from=udn-ch1_breaknews-1-0-news
2023-05-05 00:39:23 , udn , 蔡政府召募青年民防 沒說的理由是「兩岸必有一戰」？ , https://udn.com/news/story/6656/7143687?from=udn-ch1_breaknews-1-0-news
2023-05-05 00:39:33 , udn , 蔡英文總統宣示推動全民防衛觀念，中央政府啟動多元召募年輕民力政策，警政署發公文要求全國各警察局總動員，召募18歲至40歲的熱血青年加入民防，基層員警因此增加勤務外的負擔。由基層或地區警務機關承擔召募民力的責任並非個案，已是全國警局大型召募行動，為達成KPI，還要上街頭招攬年輕人，不過年輕人對於加入民防並不熱中，相較現行義警、民防多由中年民眾擔任，全國員警要達成召募任務，不太容易。 , https://udn.com/news/story/6656/7143687?from=udn-ch1_breaknews-1-0-news
2023-05-05 01:06:23 , udn , 藝人炎亞綸「撂英文」當一日見習生 粉絲擠爆現場 , https://udn.com/news/story/7270/7143703?from=udn-ch1_breaknews-1-0-news
